Species,Site,Age,Height_in,Canopy_area_in2,Total_Fruit_No,HV_m2_cm2,WD,Ks,KL_Units,TotalAssim,BW_dry_avg,Photo,Trmmol,Cond,WUE_Intrinsic,Thick_cm,Area_cm2,LMA_g.cm2,LWR,LD_g.cm3,Length_mm_Top,Density_mm2_Top,SPI_Top,WUE_Instantaneous
PRRE,Jonaskop,10,75,2858.849315,63,0.863868,0.557227237,1.028085123,0.000119158,113656.6806,0.9835,13.17310299,1.826254452,0.215899856,61.01487622,0.05185,8.515,0.030364063,12.56843521,0.585613558,0.064166667,33.00991412,0.135913737,7.213180494
PRRE,Jonaskop,11,84,3562.566069,129,0.799243,0.590481121,0.994347188,0.000124562,59715.47371,0.809,7.480535887,1.100373232,0.133932716,55.85293952,0.05495,9.804515,0.0313937,16.38664247,0.571313922,0.056666667,35.1057817,0.112728566,6.798180535
PRLA,Jonaskop,12,112,4591.437663,60,1.571444,0.524300173,0.797798933,5.08E-05,258991.2936,1.928,16.49552417,1.186923649,0.133632522,123.4394437,0.0732,24.18694,0.039029327,2.919006081,0.533187527,0.043333333,60.78015933,0.114131633,13.89771295
PRLA,Jonaskop,14,114,4596.150052,89,0.936485,0.551894919,0.536051496,5.72E-05,105941.5877,1.3495,11.31267938,0.85438438,0.095715206,118.1910362,0.074866667,15.15146,0.038082139,2.988196078,0.508666146,0.048333333,78.59503363,0.183606731,13.24073759
PRLA,Jonaskop,13,85,4715.530573,80,1.171786,0.479444198,0.604268429,5.16E-05,151417.5327,2.1275,12.92194235,1.281138804,0.173235658,74.59170069,0.087666667,18.02507,0.045159325,3.824454078,0.515125378,0.043333333,58.68429178,0.110196059,10.08629378
PRLA,Jonaskop,12,93,1867.676833,32,0.985564,0.546216964,0.555827253,5.64E-05,138372.1011,1.312,14.03989568,1.167310613,0.135481826,103.6293656,0.074433333,19.86875,0.038452344,3.40354386,0.516601131,0.04,55.54049044,0.088864785,12.02755764
PRLA,Jonaskop,13,100,4233.296101,138,1.034574,0.535975999,0.707271537,6.84E-05,153257.7336,1.586,14.82899287,1.577496805,0.164623057,90.0784686,0.080566667,16.48938,0.038024474,2.752882745,0.471962853,0.041666667,51.34875529,0.089147145,9.400331476
PRLA,Jonaskop,13,109,6430.840162,72,1.704223,0.467022297,0.366906008,2.15E-05,217850.2325,1.6075,12.79274246,1.920264188,0.168446884,75.94526035,0.0722,16.45542,0.039196812,3.240384615,0.542892133,0.046666667,50.30082152,0.109544011,6.661970025
PRLA,Jonaskop,18,123,9641.547854,224,1.204083,0.507575997,0.280884743,2.33E-05,179174.4054,1.612,14.88056748,2.344478352,0.201535403,73.83599734,0.073633333,24.91479,0.037246953,3.187783322,0.505843637,0.045,57.63635798,0.116713625,6.347069687
PRLA,Jonaskop,16,107,2922.466566,52,1.137484,0.544968238,0.429692746,3.78E-05,115669.7783,2.177,10.16891208,1.494765376,0.111706703,91.03224611,0.0779,30.16097,0.042306332,3.379008917,0.543085135,0.036666667,52.39668909,0.070444437,6.803015539
PRLA,Jonaskop,16,93,2162.986542,31,1.32444,0.470268938,0.427751428,3.23E-05,197884.659,2.038,14.94100295,2.197633039,0.178753653,83.58432233,0.065066667,26.38229,0.035061399,3.555401388,0.538853465,0.05,45.0611526,0.112652882,6.798679618
PRLA,Jonaskop,18,118,5796.238446,58,1.314654,0.536034333,0.374433,2.85E-05,164813.0202,1.847,12.53660906,1.753267996,0.144366321,86.83887608,0.074166667,22.32799,0.036949139,3.908348687,0.498190636,0.04,45.0611526,0.072097844,7.150423717
PRLA,Jonaskop,16,125,6020.076922,118,1.12158,0.589784334,0.406585055,3.63E-05,168403.6102,1.4815,15.03539841,2.564146177,0.237434362,63.32444168,0.065833333,23.68486,0.034199062,3.583866924,0.519479425,0.041666667,63.92396067,0.110979098,5.863705644
PRLA,Jonaskop,14,94,6842.3888,107,1.00659,0.542399731,0.197241986,1.96E-05,136007.4261,1.87,13.52895974,1.700853009,0.127562307,106.0576597,0.073866667,22.52986,0.038437878,3.893488442,0.520368382,0.04,56.58842421,0.090541479,7.954220423
PRLA,Jonaskop,14,123,8812.167393,122,0.799093,0.475483053,0.471234135,5.90E-05,91517.92898,1.517,11.45272846,1.609819006,0.118703339,96.48194024,0.077466667,21.1275,0.039569282,3.225704359,0.510791074,0.043333333,59.73222556,0.112163846,7.114295717
PRLA,Jonaskop,14,128,3525.652355,62,0.707478,0.488041305,0.571793683,8.08E-05,62217.71045,1.6995,8.794300338,1.146966695,0.081622633,107.7434042,0.071466667,16.41646,0.037827887,3.707703679,0.529308118,0.045,66.01982825,0.133690152,7.667441763
PRLA,Jonaskop,12,77,1350.884841,24,0.879424,0.528939115,0.564417987,6.42E-05,97459.67496,2.06,11.09262698,0.95595842,0.066323388,167.2506082,0.080466667,17.63528,0.041734523,3.505490242,0.518656042,0.04,55.54049044,0.088864785,11.60367098
PRLA,Jonaskop,17,116,10009.11419,126,0.777963,0.528424239,0.343947023,4.43E-05,95972.91853,2.063,12.34819437,2.319716165,0.183378414,67.33722962,0.079066667,20.49729,0.040639519,4.051371999,0.513990542,0.045,58.68429178,0.118835691,5.323148822
PRLA,Jonaskop,16,90,3832.743037,26,1.243704,0.49171906,0.498468175,4.01E-05,140921.7307,2.086,11.34300838,1.414846518,0.098275464,115.4205528,0.076233333,19.31951,0.038458532,3.360732386,0.504484462,0.035,60.78015933,0.074455695,8.01712994
PRLA,Jonaskop,19,111,4209.734156,36,1.251663,0.498638773,0.748620798,5.99E-05,168324.3978,2.1315,13.46464648,2.033863199,0.166008116,81.10836268,0.088966667,21.88875,0.046507909,3.394586352,0.522756562,0.043333333,58.68429178,0.110196059,6.620232121
PRLA,Jonaskop,17,126,9157.742585,147,1.623638,0.508819814,0.84724063,5.22E-05,193800.4703,2.0005,11.9478807,1.838570712,0.12815945,93.2266852,0.084766667,17.39194,0.039271065,2.148742129,0.463284288,0.043333333,51.34875529,0.096421552,6.498461344
